Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pensions,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,PR,ADJUNTAS,,"$6,775 ","$4,410 ", $- ,$311 , $- , $- ,$10 ,"$2,044 ",273
15,PR,AGUADA,,"$12,221 ","$7,751 ", $- ,$780 , $- , $- ,$0 ,"$3,690 ",482
15,PR,AGUADILLA,,"$34,461 ","$19,631 ", $- ,"$2,165 ", $- , $- ,$56 ,"$12,608 ","1,176"
15,PR,AGUAS BUENAS,,"$9,389 ","$3,855 ", $- ,$305 , $- , $- ,$39 ,"$5,191 ",308
15,PR,AIBONITO,,"$15,642 ","$10,332 ", $- ,$483 , $- , $- ,$105 ,"$4,722 ",428
15,PR,ANASCO,,"$6,716 ","$4,277 ", $- ,$299 , $- , $- ,$13 ,"$2,126 ",372
15,PR,ARECIBO,,"$34,198 ","$20,301 ", $- ,"$1,350 ", $- , $- ,$45 ,"$12,502 ","1,415"
15,PR,ARROYO,,"$6,657 ","$3,583 ", $- ,$290 , $- , $- ,$13 ,"$2,771 ",298
15,PR,BARCELONETA,,"$7,860 ","$4,661 ", $- ,$347 , $- , $- ,$18 ,"$2,835 ",309
15,PR,BARRANQUITAS,,"$14,436 ","$9,313 ", $- ,$398 , $- , $- ,$31 ,"$4,693 ",378
15,PR,BAYAMON,,"$129,525 ","$58,800 ","$3,518 ","$4,007 ", $- ,"$2,640 ",$324 ,"$60,236 ","3,856"
15,PR,CABO ROJO,,"$19,872 ","$10,837 ", $- ,$948 , $- , $- ,$54 ,"$8,034 ",999
15,PR,CAGUAS,,"$74,258 ","$34,635 ", $- ,"$2,640 ", $- , $- ,$229 ,"$36,754 ","2,337"
15,PR,CAMUY,,"$10,135 ","$6,060 ", $- ,$388 , $- , $- ,$68 ,"$3,619 ",410
15,PR,CANOVANAS,,"$18,653 ","$8,557 ", $- ,$694 , $- , $- ,$25 ,"$9,377 ",581
15,PR,CAROLINA,,"$90,022 ","$38,897 ", $- ,"$2,681 ", $- , $- ,$284 ,"$48,160 ","3,004"
15,PR,CATANO,,"$9,138 ","$4,117 ", $- ,$442 , $- , $- ,$15 ,"$4,564 ",266
15,PR,CAYEY,,"$33,786 ","$18,852 ", $- ,"$1,129 ", $- , $- ,$151 ,"$13,654 ",988
15,PR,CEIBA,,"$8,782 ","$4,568 ", $- ,$344 , $- , $- ,$23 ,"$3,847 ",325
15,PR,CIALES,,"$6,165 ","$3,638 ", $- ,$192 , $- , $- ,$10 ,"$2,325 ",218
15,PR,CIDRA,,"$14,408 ","$6,901 ", $- ,$562 , $- , $- ,$44 ,"$6,901 ",534
15,PR,COAMO,,"$21,674 ","$12,806 ", $- ,"$1,290 ", $- , $- ,$62 ,"$7,516 ",850
15,PR,COMERIO,,"$6,169 ","$3,458 ", $- ,$123 , $- , $- ,$0 ,"$2,588 ",216
15,PR,COROZAL,,"$13,739 ","$7,527 ", $- ,$375 , $- , $- ,$22 ,"$5,814 ",405
15,PR,CULEBRA,,$603 ,$296 , $- , $- , $- , $- ,$26 ,$281 ,27
15,PR,DORADO,,"$17,094 ","$7,483 ", $- ,$632 , $- , $- ,$86 ,"$8,894 ",580
15,PR,FAJARDO,,"$19,665 ","$9,932 ", $- ,$644 , $- , $- ,$90 ,"$8,999 ",792
15,PR,FLORIDA,,"$4,347 ","$2,348 ", $- ,$297 , $- , $- , $- ,"$1,703 ",138
15,PR,GUANICA,,"$6,976 ","$3,622 ", $- ,$446 , $- , $- ,$1 ,"$2,907 ",335
15,PR,GUAYAMA,,"$15,056 ","$8,901 ", $- ,$915 , $- , $- ,$21 ,"$5,220 ",678
15,PR,GUAYANILLA,,"$9,580 ","$5,617 ", $- ,$389 , $- , $- ,$4 ,"$3,570 ",458
15,PR,GUAYNABO,,"$42,438 ","$16,714 ", $- ,"$1,577 ", $- , $- ,$126 ,"$24,021 ","1,284"
15,PR,GURABO,,"$16,479 ","$6,962 ", $- ,$814 , $- , $- ,$19 ,"$8,684 ",594
15,PR,HATILLO,,"$11,803 ","$5,976 ", $- ,$498 , $- , $- ,$11 ,"$5,317 ",511
15,PR,HORMIGUEROS,,"$7,658 ","$4,329 ", $- ,$250 , $- , $- ,$11 ,"$3,068 ",380
15,PR,HUMACAO,,"$22,852 ","$12,196 ", $- ,"$1,238 ", $- , $- ,$138 ,"$9,280 ",803
15,PR,ISABELA,,"$20,453 ","$12,178 ", $- ,$971 , $- , $- ,$26 ,"$7,278 ",751
15,PR,JAYUYA,,"$5,404 ","$3,257 ", $- ,$182 , $- , $- ,$20 ,"$1,945 ",189
15,PR,JUANA DIAZ,,"$22,586 ","$9,999 ", $- ,"$1,056 ", $- , $- ,$86 ,"$11,444 ","1,061"
15,PR,JUNCOS,,"$12,586 ","$5,983 ", $- ,$428 , $- , $- ,$55 ,"$6,120 ",472
15,PR,LAJAS,,"$9,397 ","$5,997 ", $- ,$424 , $- , $- ,$23 ,"$2,954 ",479
15,PR,LARES,,"$8,666 ","$5,622 ", $- ,$362 , $- , $- ,$0 ,"$2,681 ",338
15,PR,LAS MARIAS,,"$1,468 ",$745 , $- ,$71 , $- , $- , $- ,$652 ,84
15,PR,LAS PIEDRAS,,"$12,823 ","$6,812 ", $- ,$581 , $- , $- ,$25 ,"$5,406 ",448
15,PR,LOIZA,,"$6,462 ","$3,053 ", $- ,$49 , $- , $- ,$10 ,"$3,350 ",225
15,PR,LUQUILLO,,"$9,284 ","$5,003 ", $- ,$237 , $- , $- ,$9 ,"$4,035 ",374
15,PR,MANATI,,"$14,898 ","$8,706 ", $- ,$624 , $- , $- ,$88 ,"$5,479 ",485
15,PR,MARICAO,,"$1,007 ",$629 , $- ,$72 , $- , $- ,$4 ,$302 ,58
15,PR,MAUNABO,,"$4,958 ","$2,973 ", $- ,$180 , $- , $- ,$0 ,"$1,805 ",144
15,PR,MAYAGUEZ,,"$26,953 ","$15,465 ", $- ,"$1,429 ", $- , $- ,$43 ,"$10,015 ","1,448"
15,PR,MOCA,,"$10,589 ","$6,152 ", $- ,$712 , $- , $- ,$9 ,"$3,716 ",458
15,PR,MOROVIS,,"$9,731 ","$5,089 ", $- ,$554 , $- , $- ,$10 ,"$4,077 ",324
15,PR,NAGUABO,,"$10,224 ","$5,065 ", $- ,$357 , $- , $- ,$24 ,"$4,778 ",387
15,PR,NARANJITO,,"$13,002 ","$6,952 ", $- ,$389 , $- , $- ,$22 ,"$5,639 ",347
